uid,created_date,survival_time,country,have_services,log_score,label
409,2022-10-19,87.0,US,0,-244.208240530772,scam
410,2021-12-09,405.0,US,0,-100652.65205617686,scam
411,2022-07-29,162.0,-,0,-199833.49873295912,scam
412,2022-02-07,345.0,RU,0,-403.2919497988978,scam
413,2020-02-20,1062.0,CA,0,-199833.49873295912,scam
414,2019-11-17,1154.0,TR,0,-131.17971843439497,scam
415,2021-12-02,401.0,US,0,-100652.65205617686,scam
416,2000-01-28,8380.0,US,1,-34411.32324619773,scam
417,2020-12-08,771.0,US,0,-199833.49873295912,scam
418,2022-09-23,113.0,US,0,-6607.894054526099,scam
419,2021-10-14,461.0,CA,0,-199833.49873295912,scam
420,2021-11-08,436.0,NL,0,-308.9554775622766,scam
421,2022-07-13,189.0,US,0,-199833.49873295912,scam
422,2021-03-26,663.0,DE,0,-812.7373201229586,scam
423,2022-08-12,155.0,US,0,-2867.362413840274,scam
424,2022-06-15,217.0,US,0,-199833.49873295912,scam
425,2022-09-21,115.0,US,0,-3753.386615781621,scam
426,2022-08-12,159.0,US,0,-100652.65205617686,scam
427,2022-05-02,261.0,MD,0,-61.00426772644601,scam
428,2022-06-02,219.0,US,0,-5879.034919654398,scam
429,2022-05-24,228.0,NL,0,-400.3364383538704,scam
430,2005-06-27,6413.0,-,1,-199833.49873295912,scam
431,2022-03-27,296.0,NL,0,-70.90138771133189,scam
432,2021-07-08,548.0,CA,1,-77.90138771133189,scam
433,2020-11-02,807.0,KR,0,-100652.65205617686,scam
434,,,US,0,-199833.49873295912,scam
435,2022-07-13,189.0,US,0,-131.17971843439497,scam
436,2022-07-17,185.0,-,1,-199833.49873295912,scam
437,2022-03-26,298.0,CA,0,-300.3232461977317,scam
438,2022-08-25,146.0,US,0,-5879.034919654398,scam
439,2021-07-12,551.0,US,0,-199833.49873295912,scam
440,2020-05-06,986.0,US,1,-5879.034919654398,scam
441,2022-09-23,113.0,HK,0,-221.73730981109512,scam
442,2021-06-23,563.0,US,0,-199833.49873295912,scam
443,2022-06-23,205.0,-,0,-199833.49873295912,scam
444,2022-09-26,114.0,FR,1,-8736.17105438239,scam
445,2022-10-31,68.0,CZ,0,-20.109628242103835,scam
446,2022-04-16,277.0,VN,0,-6.920558458320164,scam
447,2022-06-22,199.0,US,0,-25263.44465193851,scam
448,2021-11-09,424.0,DE,0,-6936.950143992751,scam
449,2022-01-14,369.0,US,0,-100652.65205617686,scam
450,2021-03-20,669.0,US,0,-100652.65205617686,scam
451,2022-09-14,115.0,CN,0,-257.7373098110951,scam
452,2020-11-30,778.0,US,1,-100652.65205617686,scam
453,2021-09-06,488.0,US,1,-199833.49873295912,scam
454,2019-10-16,1189.0,US,0,-199833.49873295912,scam
455,2022-07-13,178.0,-,0,-199833.49873295912,scam
456,2022-02-11,340.0,US,0,-300.3232461977317,scam
457,2022-04-01,281.0,US,0,-100652.65205617686,scam
458,2022-11-26,53.0,US,0,-16921.43165549624,scam
459,2021-12-13,401.0,US,0,-300.3232461977317,scam
460,2022-08-29,138.0,NL,0,-3753.386615781621,scam
461,2022-09-16,124.0,US,0,-524.6021047272017,scam
462,2022-01-13,366.0,US,0,-100652.65205617686,scam
463,2022-01-14,358.0,US,0,-5879.034919654398,scam
464,2021-12-22,388.0,US,0,-3753.386615781621,scam
465,2022-02-15,333.0,CA,0,-8736.17105438239,scam
466,2022-09-07,132.0,US,1,-199833.49873295912,scam
467,2022-01-25,347.0,US,0,-100652.65205617686,scam
468,,,RU,0,-24.6677954898248,scam
469,,,US,0,-717.0879769945718,scam
470,2015-08-05,2719.0,US,0,-2625.5342640972003,scam
